name,developers,appid,type,price,ratings,release date,genres,platforms
Train Sim World® 5: Hauptstrecke Hamburg - Lübeck Route Add-On,['Dovetail Games'],2969820,dlc,$14.99,0,"Aug 20, 2024",['Simulation'],['windows']
X-Plane 12 Add-on: 29 Palms/Captain7 - Airport Nuremberg,"['29Palms', 'Captain7', 'Stairport Sceneries']",2969830,dlc,$16.74,0,"Nov 11, 2024",['Simulation'],"['windows', 'mac', 'linux']"
Train Sim World® 5: Cathcart Circle Line: Glasgow - Neilston & Newton Add-On,['Dovetail Games'],2969840,dlc,$8.99,0,"Aug 20, 2024",['Simulation'],['windows']
Master of Pieces © Jigsaw Puzzle DLC - Timeless Heritage,['Graphium Studio'],2969850,dlc,$1.39,0,"May 8, 2024","['Casual', 'Free To Play']",['windows']
X-Plane 12 Add-on: Aerosoft - Airport Kassel,"['Stairport Sceneries', 'FlightSim Studio AG']",2969860,dlc,$10.04,0,"Nov 18, 2024",['Simulation'],"['windows', 'mac', 'linux']"
Train Sim World® 5: London Underground 1938 Stock EMU Loco Add-On,['Rivet Games'],2969870,dlc,$7.99,0,"Aug 20, 2024",['Simulation'],['windows']
X-Plane 12 Add-on: FSDG - Djerba,['FSDG'],2969880,dlc,$12.99,0,"Nov 25, 2024",['Simulation'],"['windows', 'mac', 'linux']"
Train Sim World® 5: Nahverkehr Dresden - Riesa Route Add-On,['Dovetail Games'],2969890,dlc,$15.99,0,"Aug 20, 2024",['Simulation'],['windows']
X-Plane 12 Add-on: FSDG - Teruel,['FSDG'],2969900,dlc,$12.99,0,"Nov 25, 2024",['Simulation'],"['windows', 'mac', 'linux']"
X-Plane 12 Add-on: FSDG - Hurghada,['FSDG'],2969910,dlc,$19.99,0,"Nov 25, 2024",['Simulation'],"['windows', 'mac', 'linux']"
X-Plane 12 Add-on: Aerosoft - Airport Zagreb,"['Drazen Matlekovic', 'Stairport Sceneries']",2969920,dlc,$17.99,0,"Dec 5, 2024",['Simulation'],"['windows', 'mac', 'linux']"
